dong_key,dong,total_amount,total_count,total_customer,avg_total_demand_pop,store_count,category_count,avg_location_score,external_ratio,sales_shortage,amount_growth_24_vs_23,consumption_activation,map_name
신평1동,신평1동,2610870000,239258,195452,3603.8130665833337,5.0,1,0.0998,0.6722431533912004,522174000.0,0.0339137534004119,724474.3142227649,패스트푸드
양포동,양포동,2916691000,235904,203759,25957.22364333333,53.0,1,0.3006,0.6432493507891552,55031905.66037736,0.006195308706173,112365.29145323684,패스트푸드
원평동,원평동,1837434000,199442,170199,7439.65179575,23.0,1,0.1358,0.7035284891418052,79888434.7826087,-0.05001066563088,246978.49448406423,패스트푸드
인동동,인동동,7522248000,735640,617697,27188.273249583333,100.0,1,0.3323,0.7051636955494868,75222480.0,-0.0461257056651135,276672.51726312854,패스트푸드
임오동,임오동,1813752000,152407,138304,8149.605948583333,13.0,1,0.1229,0.7064720315630958,139519384.6153846,-0.5709204798392656,222557.01827096182,패스트푸드
장천면,장천면,82369000,3511,3099,1363.1827838333334,2.0,1,0.0574,0.6742971121719156,41184500.0,-0.3298051381876432,60424.031888353624,패스트푸드
진미동,진미동,1194442000,76668,66462,15923.074261666668,1.0,1,0.2258,0.6802517762616028,1194442000.0,0.1834318012313361,75013.27823833044,패스트푸드
형곡1동,형곡1동,3159864000,341155,296591,7787.470175750001,23.0,1,0.1208,0.6227146569875017,137385391.3043478,-0.1045357532335252,405762.58126030996,패스트푸드
형곡2동,형곡2동,988695000,98044,89557,8328.659252291667,2.0,1,0.1194,0.5904785498531641,494347500.0,-0.0454779084708905,118709.98320983732,패스트푸드
b'',b' ',107532000,9585,7158,15923.074261666668,16.0,1,0.2438,1.0,6720750.0,-1.0,6753.2185200488175,음식점_합본
고아읍,고아읍,113249093000,3472624,3184709,10427.453303875,164.0,5,0.18812,0.59900139048172,1855543950.6593406,0.01577308538222068,10860666.52131781,음식점_합본
공단동,공단동,19757146000,868779,652798,4909.7810930000005,58.0,4,0.12355,0.7572807778412693,391067296.07843137,-0.2513566159543501,4024038.063156882,음식점_합본
광평동,광평동,2511700000,92774,78488,2455.81240025,46.0,5,0.0888,0.6966439997863352,128824137.89473684,0.038455625372219845,1022757.2756552214,음식점_합본
도개면,도개면,39991162000,3949980,2163454,959.7403305083334,14.0,3,0.1307,0.7838465884696824,1466009641.0256412,0.1913236778309152,41668731.35238403,음식점_합본
도량동,도량동,56689367000,1978912,1782653,15006.15911625,110.0,5,0.22808,0.6207105719489132,995391953.939394,0.41564909850483883,3777739.964026619,음식점_합본
무을면,무을면,2925047000,85125,75326,813.46340425,11.0,3,0.06713333333333334,0.6741440926419872,296085700.0,-0.030625022020162967,3595794.211169027,음식점_합본
